actual,predicted,misclassified,id,organization_id,type,species,age,gender,size,coat,tags,name,description,videos,status_changed_at,published_at,distance,breeds.primary,breeds.secondary,breeds.mixed,breeds.unknown,colors.primary,colors.secondary,colors.tertiary,fixed,house_trained,attributes.declawed,special_needs,shots_current,good_with_kids,good_with_dogs,good_with_cats,city,contact.address.state,zipcode,has_photo,days_on_petfinder,polarity,desc_len
Slow_adoption,Speedy_adoption,Yes,47673073,CA1496,Dog,Dog,Baby,Female,Medium,Short,"['Sweet', 'playful']",SCARLET,White 6 month old spayed female German Shepherd pup,0,2020-04-25 19:19:13+00:00,2020-03-22 01:04:28+00:00,64.4099,German Shepherd Dog,,0,False,White / Cream,,,1,0,,0,1,1,1,2,Woodland,CA,,1,0.0,0.0,51
Speedy_adoption,Slow_adoption,Yes,45015738,CA1727,Dog,Dog,Baby,Male,Medium,Short,[],Phil the Minion,Many of our newly listed puppies are scheduled to attend Saturday events at Petsmart Almaden Expressway in San Jose from...,0,2019-06-23 22:37:01+00:00,2019-06-18 23:45:52+00:00,38.8997,Terrier,,1,False,White / Cream,Yellow / Tan / Blond / Fawn,,1,0,,0,1,2,2,2,San Jose,CA,95125.0,1,1.0,0.0,123
Speedy_adoption,Slow_adoption,Yes,49284178,CA995,Dog,Dog,Adult,Male,Medium,Short,[],Rex,"Rex is a 4-5 yr old Pit Bull mix. He is neutered, microchipped, good with other dogs &amp; puppies (prefers...",0,2020-10-04 20:49:34+00:00,2020-09-30 18:36:54+00:00,97.682,Pit Bull Terrier,,1,False,Brindle,White / Cream,,1,1,,0,1,1,1,1,Colusa,CA,95932.0,1,1.0,0.4404,110
Speedy_adoption,Slow_adoption,Yes,45721797,CA2490,Dog,Dog,Adult,Male,Medium,Medium,[],Marley (& you!),Dog &amp; People Friendly comes to us from our sister rescue in Puerto Rico. He was one of 11 dogs...,0,2019-08-30 17:21:58+00:00,2019-08-23 16:36:03+00:00,57.8514,Labrador Retriever,,0,False,Yellow / Tan / Blond / Fawn,,,1,1,,0,1,1,1,1,Davis,CA,95616.0,1,1.0,0.7579,101
Slow_adoption,Speedy_adoption,Yes,45578037,CA180,Dog,Dog,Baby,Male,Large,Medium,[],Booth,Playful and a bit shy.,0,2019-11-13 00:42:50+00:00,2019-08-11 19:50:00+00:00,54.2778,Shepherd,,1,False,Black,Golden,,1,0,,0,1,2,2,2,Stockton,CA,95208.0,1,0.0,0.2263,22
Slow_adoption,Speedy_adoption,Yes,48884451,CA39,Dog,Dog,Adult,Male,Large,,[],Ringo,"Hello all, my name is Ringo. I am a 5 year old, neutered male German Shepherd and I weigh about...",0,2020-09-09 22:13:54+00:00,2020-08-26 14:11:01+00:00,16.8028,German Shepherd Dog,,0,False,,,,1,0,,1,1,2,2,2,Burlingame,CA,94010.0,1,0.0,0.0,98
Speedy_adoption,Slow_adoption,Yes,48482375,CA2538,Dog,Dog,Baby,Male,Small,Medium,[],CHIP,"Please read CAREFULLY. We will only respond to inquiries that meet the following requirements. 
**HOME WITH ANOTHER YOUNG, PLAYFUL, ACTIVE...",0,2020-07-21 15:22:28+00:00,2020-07-14 07:13:58+00:00,31.8249,Terrier,Chihuahua,1,False,Red / Chestnut / Orange,White / Cream,,1,1,,0,1,1,1,1,Knightsen,CA,94548.0,1,1.0,0.8001,141
Speedy_adoption,Slow_adoption,Yes,46626416,CA1973,Dog,Dog,Baby,Male,Medium,,[],Brady,Meet Brady! Brady is a very sweet dog who is patiently waiting for a loving forever home! To get more...,0,2019-11-22 06:33:29+00:00,2019-11-19 22:46:50+00:00,12.3438,Shepherd,Terrier,1,False,,,,1,0,,0,1,1,1,1,San Francisco,CA,94115.0,1,1.0,0.8306,104
Speedy_adoption,Slow_adoption,Yes,48271154,CA2452,Dog,Dog,Baby,Male,Medium,Short,[],Reuben,Meet Reuben. This playful and affectionate boy is ready for his forever home. We are puzzled with what breed this...,0,2020-06-29 00:58:58+00:00,2020-06-19 23:35:04+00:00,13.8285,Labrador Retriever,Terrier,1,False,Black,White / Cream,,1,0,,0,0,1,1,2,San Francisco,CA,94112.0,1,1.0,0.765,116
Slow_adoption,Speedy_adoption,Yes,43900540,CA1727,Dog,Dog,Baby,Male,Medium,Long,[],Pappy,"Pappy is tenatively scheduled to attend the event this Saturday February 2nd at Petsmart Almaden Expressway from apx 11-7.  

Please...",0,2019-02-18 23:29:04+00:00,2019-01-31 06:30:30+00:00,38.8997,Shepherd,Terrier,1,False,Black,Yellow / Tan / Blond / Fawn,,1,0,,0,1,2,2,2,San Jose,CA,95125.0,1,0.0,0.0,135
Slow_adoption,Speedy_adoption,Yes,47013501,CA2261,Dog,Dog,Adult,Female,Medium,Medium,[],Delilah,"Coming soon in California:

Delilah is a 7-8 year old purebred female Border Collie. She is sweet, loyal, Velcro and...",0,2020-01-20 04:29:47+00:00,2020-01-03 05:40:00+00:00,46.0805,Border Collie,,0,False,Black,White / Cream,,1,1,,0,1,1,1,2,Redwood Estates,CA,95044.0,1,0.0,0.7269,119
Speedy_adoption,Slow_adoption,Yes,47105168,CA2045,Dog,Dog,Young,Female,Small,Short,[],Ruby,Ruby is a sweet soul who came to us from a Hoarding situation with a past of no human contact....,0,2020-01-25 22:39:15+00:00,2020-01-14 16:42:15+00:00,29.8522,Miniature Pinscher,,1,False,Brindle,,,1,1,,0,1,1,1,2,Oakley,CA,94561.0,1,1.0,0.2023,97
Speedy_adoption,Slow_adoption,Yes,46780231,CA2265,Dog,Dog,Young,Male,Medium,Short,[],Jura,"Jura is a male Beauceron and approximately 1 ½ years old. The AKC describes Beaucerons as gentle, faithful and obedient....",0,2019-12-08 19:13:17+00:00,2019-12-07 03:24:21+00:00,91.1674,Beauceron,,1,False,Bicolor,,,1,1,,0,1,2,1,2,Shingle Springs,CA,95682.0,1,1.0,0.7003,123
Slow_adoption,Speedy_adoption,Yes,44828144,CA1727,Dog,Dog,Baby,Female,Large,Medium,[],Clover,Many of our newly listed puppies are scheduled to attend Saturday events at Petsmart Almaden Expressway in San Jose from...,0,2019-06-23 22:38:21+00:00,2019-05-30 02:58:28+00:00,38.8997,Shepherd,,1,False,Black,Red / Chestnut / Orange,,1,0,,0,1,2,2,2,San Jose,CA,95125.0,1,0.0,0.0,123
Slow_adoption,Speedy_adoption,Yes,44119041,CA271,Dog,Dog,Baby,Male,Small,,[],Carl,Hi my name is Carl! I am a chi mix with beautiful honey eyes and an underbite that you will...,0,2019-05-08 00:33:10+00:00,2019-02-28 04:18:32+00:00,0.1406,Chihuahua,Dachshund,1,False,,,,1,0,,0,1,2,1,2,Oakland,CA,94602.0,1,0.0,0.636,94
Slow_adoption,Speedy_adoption,Yes,45263653,CA2619,Dog,Dog,Baby,Male,Large,Medium,[],Olaf,Olaf is an approximately 2-month-old male German Shepherd mix puppy... the best guess since the litter of puppies along with...,0,2019-09-12 13:25:57+00:00,2019-07-15 07:47:46+00:00,89.7137,German Shepherd Dog,,1,False,Bicolor,Black,Yellow / Tan / Blond / Fawn,0,0,,0,1,1,1,1,Shingle Springs,CA,95682.0,1,0.0,0.6369,127
Speedy_adoption,Slow_adoption,Yes,47941759,CA2452,Dog,Dog,Young,Female,Medium,Medium,[],Cheyenne,"Meet Cheyenne .This beautiful, happy and playful  2 year old, Shepherd mix was found running the streets with her 7...",0,2020-05-16 15:27:09+00:00,2020-05-07 02:40:35+00:00,13.8285,Shepherd,,1,False,Black,Brown / Chocolate,Golden,1,0,,0,1,1,1,0,San Francisco,CA,94112.0,1,1.0,0.8885,118
Speedy_adoption,Slow_adoption,Yes,47968806,CA2452,Dog,Dog,Young,Female,Small,Medium,[],Charlene,Meet Charlene. This sweet and playful 1.5 year old terrier mix is ready for her forever home. Charlene weighs 13...,0,2020-05-20 21:45:31+00:00,2020-05-11 20:22:45+00:00,13.8285,Terrier,,1,False,White / Cream,Yellow / Tan / Blond / Fawn,,1,0,,0,1,1,1,2,San Francisco,CA,94112.0,1,1.0,0.8126,115
Speedy_adoption,Slow_adoption,Yes,45621639,CA1743,Dog,Dog,Baby,Female,Large,Short,"['Loving', 'Playful', 'Adorable', 'Cat Friendly', 'Dog Friendly', 'Kid Friendly']",River,My name is River and I am 4 months old.  I am a really happy puppy.  I will be a...,0,2019-08-20 17:54:38+00:00,2019-08-15 07:27:56+00:00,66.0382,Pit Bull Terrier,Shepherd,1,False,Brindle,White / Cream,,1,0,,0,1,1,1,1,Sacramento,CA,95817.0,1,1.0,0.6115,83
Slow_adoption,Speedy_adoption,Yes,43703410,CA957,Dog,Dog,Baby,Female,Large,Medium,"['Fun', 'loving', 'sweet']",PEARL,"Hi, my name is PEARL and I&#039;m a 6 month old baby.  I&#039;m spayed, had all of my vaccines, been...",0,2019-03-09 21:22:51+00:00,2019-01-06 01:08:32+00:00,82.4319,Great Pyrenees,,1,False,White / Cream,,,1,1,,0,1,1,2,2,Granite Bay,CA,95746.0,1,0.0,0.0,103
Speedy_adoption,Slow_adoption,Yes,45066146,CA2113,Dog,Dog,Baby,Male,Large,Short,[],Austin,Parvo survivor Austin is the sweetest boy you will ever meet. He loves to cuddle and he is wonderful with...,0,2019-07-04 02:04:22+00:00,2019-06-24 02:35:32+00:00,14.5055,American Staffordshire Terrier,,1,False,Brown / Chocolate,White / Cream,Yellow / Tan / Blond / Fawn,1,1,,0,1,1,1,2,Concord,CA,94518.0,1,1.0,0.872,108
Speedy_adoption,Slow_adoption,Yes,46626569,CA1973,Dog,Dog,Adult,Male,Medium,,[],Chester,Meet Chester! Chester is a very sweet dog who is patiently waiting for a loving forever home! To get more...,0,2019-11-22 06:33:29+00:00,2019-11-19 22:53:46+00:00,12.3438,Shepherd,Hound,1,False,,,,1,0,,0,1,1,1,2,San Francisco,CA,94115.0,1,1.0,0.8306,108
Speedy_adoption,Slow_adoption,Yes,48771419,CA2490,Dog,Dog,Young,Female,Small,Short,[],Lulu,10 month rat Terrier Mix rescued from Porterville Shelter. Lulu was a stray so we do not know much about...,0,2020-08-19 19:15:44+00:00,2020-08-13 22:22:12+00:00,57.8514,Rat Terrier,,1,False,Black,Brindle,White / Cream,1,1,,0,1,1,1,2,Davis,CA,95616.0,1,1.0,0.4215,107
Slow_adoption,Speedy_adoption,Yes,43872448,CA2265,Dog,Dog,Adult,Female,Small,Long,[],Elecktra,"Elecktra is a 5 year old Dachshund/Spaniel mix who weighs 18 pounds. She is very friendly with people, loves her...",0,2020-02-25 23:43:24+00:00,2019-01-27 04:18:07+00:00,91.1674,Dachshund,Spaniel,1,False,Brown / Chocolate,,,1,1,,0,1,2,1,1,Shingle Springs,CA,95682.0,1,0.0,0.8016,115
Slow_adoption,Speedy_adoption,Yes,44397756,CA162,Dog,Dog,Adult,Male,Medium,Long,[],Pirata,Pirata is certainly a unique looking dog. I&#039;m quite sure he will be quite a conversation. Pirata is a male...,0,2019-04-20 23:35:37+00:00,2019-04-05 19:53:09+00:00,40.1912,Border Collie,,0,False,Black,White / Cream,,1,0,,0,1,0,2,2,Vacaville,CA,95696.0,1,0.0,0.6115,114
Speedy_adoption,Slow_adoption,Yes,49594672,CA1496,Dog,Dog,Adult,Female,Medium,Medium,"['CALM', 'GENTLE', 'PLAYFUL']",STELLA,Stella is a beautiful black &amp; silver colored 3-4 year old spayed female German Shepherd with maybe some Husky to...,0,2020-11-01 05:25:37+00:00,2020-10-25 15:53:25+00:00,64.4099,German Shepherd Dog,Husky,1,False,Black,Gray / Blue / Silver,,1,0,,0,1,2,2,2,Woodland,CA,,1,1.0,0.5994,119
Slow_adoption,Speedy_adoption,Yes,46874008,CA1826,Dog,Dog,Baby,Male,Small,Short,"['SKITTISH', 'HANDSOME', 'SNUGGLY']",SHAKEY,This little sweetheart is definitely on the skittish side. His name is SHAKEY and he is 3 months old. Shakey...,0,2020-01-07 17:05:04+00:00,2019-12-17 20:48:21+00:00,60.1221,Chiweenie,Dachshund,1,False,Apricot / Beige,,,0,0,,0,1,1,1,1,Elk Grove,CA,95758.0,1,0.0,0.7538,111
Slow_adoption,Speedy_adoption,Yes,46180112,CA271,Dog,Dog,Baby,Male,Medium,Short,"['Happy', 'Playful', 'Loving']",Kevin Jonas,"Hi, I&#039;m Kevin! I&#039;m the littlest Jonas brother, and I think I’ve got some Jack Russell in me, don’t you?...",0,2019-10-22 00:01:41+00:00,2019-10-04 20:01:17+00:00,0.1406,Terrier,,1,False,Black,White / Cream,,1,1,,0,1,2,1,2,Oakland,CA,94602.0,1,0.0,0.0,116
Slow_adoption,Speedy_adoption,Yes,44897192,CA781,Dog,Dog,Baby,Female,Medium,Short,[],Cinco de Mayo Litter_Mija,"The Cinco de Mayo litter is in the house!! Momma Mango, a 25-30 pound medium sized beauty, is an affectionate...",0,2019-06-24 15:29:00+00:00,2019-06-06 23:25:34+00:00,23.4398,Labrador Retriever,Beagle,1,False,Yellow / Tan / Blond / Fawn,,,1,0,,0,1,2,1,2,Redwood City,CA,94061.0,1,0.0,0.6579999999999999,112
Slow_adoption,Speedy_adoption,Yes,49642172,CA1727,Dog,Dog,Baby,Male,Small,Short,[],Insect,"Thank you for showing interest in our dogs, however due to the recent influx of applications and emails we ask...",0,2020-12-31 17:47:55+00:00,2020-10-29 23:50:44+00:00,42.0223,Chihuahua,Terrier,1,False,Black,,,1,0,,0,1,2,2,2,San Jose,CA,95125.0,1,0.0,0.6705,113
Speedy_adoption,Slow_adoption,Yes,44231731,CA1775,Dog,Dog,Adult,Male,Small,Medium,[],Fonzie,The Fonz is one cool dude that is sure to bring you many Happy Days.  Fonzie is a one year...,0,2019-03-16 22:29:26+00:00,2019-03-15 00:21:47+00:00,21.663,Poodle,,1,False,White / Cream,,,1,1,,0,1,2,1,2,  Pleasanton,CA,94566.0,1,1.0,0.8074,93
Slow_adoption,Speedy_adoption,Yes,47094869,CA162,Dog,Dog,Baby,Female,Large,Short,[],Tae,Tae is a female Lab and a Hound. She looks like she got mostly the Lab in her mix. Both...,0,2020-01-30 21:17:46+00:00,2020-01-12 18:40:15+00:00,40.1912,Labrador Retriever,Hound,1,False,Sable,White / Cream,,1,0,,0,1,2,2,2,Vacaville,CA,95696.0,1,0.0,0.3612,90
Slow_adoption,Speedy_adoption,Yes,49640404,CA2452,Dog,Dog,Baby,Male,Medium,Short,[],Billy,Billy is the perfect family dog. He&#039;s outgoing and energetic.If you love the outdoors you will fall in love with...,0,2020-11-12 14:38:04+00:00,2020-10-29 21:24:27+00:00,13.8285,Labrador Retriever,Rhodesian Ridgeback,1,False,Golden,White / Cream,Yellow / Tan / Blond / Fawn,1,0,,0,1,1,1,2,San Francisco,CA,94112.0,1,0.0,0.9359999999999999,120
Speedy_adoption,Slow_adoption,Yes,46701540,CA162,Dog,Dog,Adult,Female,Medium,Short,[],Eureka,Eureka is a female Pit Bull Terrier / Hound mix and she&#039;s about 2 years old. She is a really...,0,2019-11-28 02:22:46+00:00,2019-11-27 18:45:03+00:00,40.1912,Pit Bull Terrier,Hound,1,False,Sable,White / Cream,,1,0,,0,1,2,2,2,Vacaville,CA,95696.0,1,1.0,0.0,100
Speedy_adoption,Slow_adoption,Yes,44092872,CA464,Dog,Dog,Adult,Female,Small,Short,['Loving'],P-Nuckle,P-Nuckle is a sweet Chihuahua mix who could no longer be cared for by her person for medical and residence...,0,2019-03-10 04:17:48+00:00,2019-02-24 19:45:25+00:00,42.8425,Chihuahua,,1,False,White / Cream,,,1,1,,0,1,0,1,0,Tracy,CA,95376.0,1,1.0,0.5574,109
Speedy_adoption,Slow_adoption,Yes,48384313,CA271,Dog,Dog,Young,Female,Medium,Short,[],Juniper,Hi! My name is Juniper! I&#039;m a sweet girl that&#039;s about a year old and is looking for a forever...,0,2020-07-09 02:06:14+00:00,2020-07-02 20:58:37+00:00,0.1406,Bull Terrier,Pit Bull Terrier,1,False,White / Cream,,,1,0,,0,1,2,1,2,Oakland,CA,94602.0,1,1.0,0.555,106
Slow_adoption,Speedy_adoption,Yes,46545419,CA2717,Dog,Dog,Baby,Female,Small,Short,[],Walley,"Little 2 month old stubby-legged sisters were dumped by the railroad, very undersocialized, possibly abused - require an experienced adopter...",0,2020-01-08 04:30:34+00:00,2019-11-11 22:44:45+00:00,8.1106,Dachshund,Terrier,1,False,Black,White / Cream,,1,0,,0,1,1,1,1,Lafayette,CA,94549.0,1,0.0,-0.7402,143
Speedy_adoption,Slow_adoption,Yes,48195305,CA2285,Dog,Dog,Adult,Female,Medium,Short,[],Cali,"Meet 2yr old, 45lb cali the staffy girl. She is super sweet and LOVES kids and all people she meets....",1,2020-06-19 23:07:51+00:00,2020-06-11 14:32:18+00:00,8.1106,American Staffordshire Terrier,,0,False,Red / Chestnut / Orange,White / Cream,,1,1,,0,1,1,1,0,Lafayette,CA,94549.0,1,1.0,0.9068,103
Speedy_adoption,Slow_adoption,Yes,44896593,CA2318,Dog,Dog,Adult,Female,Medium,Long,[],Coco,Coco is an amazing girl looking for an amazing home. This beautiful soul was left behind when one owner died...,0,2019-06-18 03:02:19+00:00,2019-06-06 20:22:54+00:00,56.1248,Labrador Retriever,,1,False,Brown / Chocolate,,,1,0,,0,1,2,2,2,Lodi,CA,95240.0,1,1.0,0.91,111
Speedy_adoption,Slow_adoption,Yes,44275177,CA1669,Dog,Dog,Senior,Female,Extra Large,Short,[],Dahlia,"My name is Dahlia. I&#039;m a female, black and white Mastiff mix. I&#039;m approximately 10 years old, and I currently...",0,2019-03-30 03:46:57+00:00,2019-03-20 17:09:44+00:00,19.0835,Mastiff,,0,False,Black,White / Cream,,0,0,,0,1,2,2,2,Dublin,CA,94568.0,1,1.0,0.0,122
Speedy_adoption,Slow_adoption,Yes,48339700,CA957,Dog,Dog,Young,Male,Extra Large,Long,[],CUBBY BEAR,"Well, Hello!  My name is &quot;Cubby&quot; BEAR and I&#039;m a 3 yr old, neutered male.  I&#039;m handsome and the quiet...",0,2020-06-28 21:19:00+00:00,2020-06-27 20:36:19+00:00,82.4319,Great Pyrenees,,0,False,White / Cream,,,1,1,,0,1,2,2,2,Granite Bay,CA,95746.0,1,1.0,0.68,123
Slow_adoption,Speedy_adoption,Yes,48504796,CA1437,Dog,Dog,Young,Male,Large,,[],Santiago,"Adoption Fee: $550
Santiago is a 6-month-old Labrador x Shepherd mix who weighs about 40 lbs. He was a rescue...",0,2020-07-30 01:56:51+00:00,2020-07-16 08:07:43+00:00,26.9102,Labrador Retriever,Shepherd,1,False,,,,1,0,,0,1,1,1,2,Palo Alto,CA,94306.0,1,0.0,0.0,112
Slow_adoption,Speedy_adoption,Yes,48190308,CA129,Dog,Dog,Senior,Female,Small,,[],Stella - 24881,"This animal is available at the Napa County Shelter
Phone: 707-253-4382
PLEASE DO NOT CONTACT NORTH BAY
Stella - 24881...",0,2020-07-26 23:06:17+00:00,2020-06-10 21:11:15+00:00,37.7497,Chihuahua,,0,False,,,,1,1,,0,1,2,2,2,Petaluma,CA,94955.0,1,0.0,0.4648,121
Slow_adoption,Speedy_adoption,Yes,45153618,CA2220,Dog,Dog,Adult,Female,Small,Long,[],Chanel,"If you are interested in meeting Chanel, please go to our website and complete an adoption application at: www.lovewoof.org ....",0,2019-11-06 21:28:00+00:00,2019-07-03 02:37:16+00:00,20.1584,Yorkshire Terrier,,0,False,Brindle,,,1,0,,0,1,1,1,2,Fremont,CA,94536.0,1,0.0,0.6124,128
Slow_adoption,Speedy_adoption,Yes,47944825,CA2285,Dog,Dog,Young,Male,Large,Medium,[],Baloo,"Meet 2yr old, 70lb Baloo the husky shepherd mix boy. He is young guy who needs a family committed to...",0,2020-06-16 15:38:50+00:00,2020-05-07 18:06:25+00:00,8.1106,German Shepherd Dog,Husky,1,False,Black,Sable,,1,1,,0,1,1,1,2,Lafayette,CA,94549.0,1,0.0,0.2732,103
Speedy_adoption,Slow_adoption,Yes,49181895,CA2285,Dog,Dog,Young,Male,Small,Short,[],Charlie,"Charlie is 12 pounds of active love.  He is a people dog and loves to meet new people, although would...",1,2020-09-25 15:44:53+00:00,2020-09-22 17:20:35+00:00,8.1106,Chihuahua,Terrier,1,False,Yellow / Tan / Blond / Fawn,,,1,1,,0,1,0,1,0,Lafayette,CA,94549.0,1,1.0,0.8909999999999999,104
Speedy_adoption,Slow_adoption,Yes,46399810,CA412,Dog,Dog,Adult,Female,Large,Short,[],Guinevere,Guinevere is dressed for Halloween!,0,2019-11-06 01:08:16+00:00,2019-10-27 20:03:32+00:00,6.6056,Pit Bull Terrier,,0,False,Black,White / Cream,,1,0,,0,1,2,2,2,Berkeley,CA,94710.0,1,1.0,0.0,35
Slow_adoption,Speedy_adoption,Yes,48023706,CA2045,Dog,Dog,Baby,Female,Small,Medium,[],Dasiy,"Animal Rescue Recon makes sure that each dog is current on its vaccinations, has been or will be spayed or...",0,2020-06-27 15:54:53+00:00,2020-05-20 03:40:08+00:00,29.8522,Terrier,,1,False,Black,,,0,0,,0,1,1,1,2,Oakley,CA,94561.0,1,0.0,0.6808,109
Slow_adoption,Speedy_adoption,Yes,48619897,CA161,Dog,Dog,Adult,Female,Medium,,[],Peppy,"For the fastest response, please submit an application.
Peppy is an adorable 4 year old heeler mix. She is a...",0,2020-09-24 22:46:31+00:00,2020-07-28 18:50:16+00:00,57.7081,Australian Cattle Dog / Blue Heeler,Australian Shepherd,1,False,,,,1,0,,1,1,2,1,0,Davis,CA,95617.0,1,0.0,0.6705,111
Slow_adoption,Speedy_adoption,Yes,44191603,CA1781,Dog,Dog,Young,Male,Large,Medium,"['Sweet', 'Sensitive', 'Playful', 'Active']",Hooch,Hooch is a beautiful Husky mix around 1 year old and 65 pounds. He was surrendered by his owner with...,0,2019-05-16 16:09:26+00:00,2019-03-09 18:49:51+00:00,37.7379,Husky,,1,False,Brown / Chocolate,White / Cream,,1,0,,0,1,1,1,2,Petaluma,CA,94953.0,1,0.0,0.5994,103
Slow_adoption,Speedy_adoption,Yes,45105893,CA2175,Dog,Dog,Adult,Female,Small,Medium,[],Remmy,"Due to the overwhelming response to Remmy&#039;s post, we are no longer taking applications for her.  She is no longer...",0,2020-11-02 19:19:11+00:00,2019-06-28 00:11:56+00:00,15.2856,Standard Schnauzer,Poodle,1,False,Gray / Blue / Silver,Merle (Blue),,1,1,,0,1,2,1,2,San Francisco,CA,94116.0,1,0.0,-0.5267,121
Speedy_adoption,Slow_adoption,Yes,50022431,CA2159,Dog,Dog,Adult,Female,Medium,Short,[],Ember,"Meet sweet Ember. **Ember is deaf** but don’t let that stop you from loving this awesome girl. She’s a smart,...",0,2020-12-20 16:31:37+00:00,2020-12-11 19:00:14+00:00,94.0737,Labrador Retriever,Pit Bull Terrier,1,False,White / Cream,,,1,1,,1,1,1,1,2,Yuba City,CA,95993.0,1,1.0,0.9241,112
